continentName,countryName,stateName,confirmedCount,curedCount,deadCount,updateTime
Europe,Spain,Spain,136675,40437,13341,2020-04-06 23:21:55
Europe,Italy,Italy,132547,22837,16523,2020-04-06 23:21:55
Europe,Germany,Germany,103374,28700,1810,2020-04-06 23:21:55
Europe,France,France,98010,17250,8911,2020-04-06 23:21:55
North America,US,New York,72181,0,3485,2020-04-06 23:22:15
Asia,Iran,Iran,60500,24236,3739,2020-04-06 23:21:55
Europe,UK,UK,51608,135,5373,2020-04-06 23:21:55
Europe,Turkey,Turkey,30217,1326,649,2020-04-06 23:21:55
Europe,Switzerland,Switzerland,21657,8056,765,2020-04-06 23:21:55
Europe,Belgium,Belgium,20814,3986,1632,2020-04-06 23:21:55
Europe,Netherlands,Netherlands,18803,250,1867,2020-04-06 23:21:55
North America,US,New York,15616,0,162,2020-04-06 23:22:15
North America,US,New York,14294,0,211,2020-04-06 23:22:15
North America,US,New York,14185,0,199,2020-04-06 23:22:15
Europe,Austria,Austria,12297,3463,220,2020-04-06 23:21:55
South America,Brazil,Brazil,12161,127,564,2020-04-06 23:21:55
Europe,Portugal,Portugal,11730,140,311,2020-04-06 23:21:55
Asia,South Korea,South Korea,10284,6598,186,2020-04-06 23:21:55
Asia,Israel,Israel,8904,585,57,2020-04-06 23:21:55
North America,US,Illinois,8728,0,209,2020-04-06 23:22:15
North America,Canada,Quebec,8580,0,121,2020-04-06 23:28:19
North America,US,Michigan,8270,0,346,2020-04-06 23:22:15
Europe,Sweden,Sweden,7206,205,477,2020-04-06 23:21:55
North America,US,New Jersey,6862,0,200,2020-04-06 23:22:15
North America,US,California,6377,0,147,2020-04-06 23:22:15
Europe,Russia,Russia,6343,406,47,2020-04-06 23:21:55
Europe,Norway,Norway,5865,32,76,2020-04-06 23:21:55
North America,US,New York,5703,0,119,2020-04-06 23:22:15
Europe,Ireland,Ireland,5364,25,174,2020-04-06 23:21:55
Europe,Czech Republic,Czech Republic,4822,121,78,2020-04-06 23:21:55
South America,Chile,Chile,4815,728,37,2020-04-06 23:21:55
Asia,India,India,4778,375,136,2020-04-06 23:21:55
Europe,Denmark,Denmark,4681,1378,187,2020-04-06 23:21:55
North America,US,Louisiana,4565,0,171,2020-04-06 23:22:15
North America,US,New Jersey,4493,0,186,2020-04-06 23:22:15
North America,US,Florida,4481,0,37,2020-04-06 23:22:15
Europe,Poland,Poland,4413,162,107,2020-04-06 23:21:55
